Length,Material,Vel_Liv,Vel_Pes,Carriles,Tipo,Nombre,Start,,End,
77.382703,Ripio,49,35,,Ruta,RN 188,-67.866969,-34.857360,-68.360604,-35.328665
46.707706,Pavimento,109,79,1,Ruta,RN 143,-67.866969,-34.857360,-68.242340,-34.675262
230.557739,Pavimento,109,79,1,Ruta,RN 146,-68.002211,-34.641669,-66.342914,-33.316933
24.832666,Pavimento,109,79,1,Ruta,RN 143,-67.689115,-34.978071,-67.866969,-34.857360
161.910053,Pavimento,109,79,1,Ruta,RN 143,-66.925349,-36.241602,-67.689115,-34.978071
252.235463,Pavimento,112,80,1,AutovIa,RN 7,-66.342914,-33.316933,-68.819153,-32.896718
87.696051,Pavimento,70,48,1,Ruta,RN 7,-69.348256,-32.591004,-70.082512,-32.814581
23.58446,Pavimento,99,70,1,Ruta,RN 149,-69.348256,-32.591004,-69.388387,-32.393709
36.328891,Ripio,49,35,,Ruta,RN 149,-69.388387,-32.393709,-69.359826,-32.080387
35.722165,Pavimento,70,48,1,Ruta,RN 149,-69.359826,-32.080387,-69.455834,-31.777196
249.671233,Pavimento,70,48,,Ruta,RN 149,-69.455834,-31.777196,-69.225937,-30.325314
36.194352,Pavimento,70,48,,Ruta,RN 150,-69.225937,-30.325314,-69.577324,-30.392651
52.462967,Ripio,28,19,,Ruta,RN 150,-69.577324,-30.392651,-69.825905,-30.192794
93.202565,Pavimento,70,48,1,Ruta,RN 7,-68.879775,-33.102167,-69.348256,-32.591004
23.678528,Pavimento,109,79,2,Ruta,RN 40,-68.879775,-33.102167,-68.819153,-32.896718
114.161246,Pavimento,109,79,1,Ruta,RN 40,-68.819153,-32.896718,-68.439379,-31.979461
74.882815,Tierra,25,17,,Ruta,RN 153,-68.775685,-32.007986,-69.359826,-32.080387
37.027642,Pavimento,70,48,1,Ruta,RN 153,-68.439379,-31.979461,-68.775685,-32.007986
10.538225,Pavimento,112,80,,AutovIa,RN 40,-68.439379,-31.979461,-68.436110,-31.884465
6.270246,Pavimento,109,79,,Ruta,RN 153,-68.375836,-31.985649,-68.439379,-31.979461
12.182118,Ripio,66,48,,Ruta,RN 153,-68.265843,-32.040526,-68.375836,-31.985649
8.77587,Tierra,59,43,,Ruta,RN 153,-68.203797,-32.015628,-68.265843,-32.040526
20.513235,Pavimento,109,79,,Ruta,RN 40,-68.436110,-31.884465,-68.429716,-31.699547
23.277003,Pavimento,109,79,,Ruta,RN A01,-68.436110,-31.884465,-68.222526,-31.837002
17.553957,Pavimento,109,79,,Ruta,RN 40,-68.429716,-31.699547,-68.495736,-31.551654
70.875042,Pavimento,112,80,,AutovIa,RN A01,-68.495736,-31.551654,-68.436110,-31.884465
12.688964,Pavimento,60,45,1,Avenida,RN 40,-68.495736,-31.551654,-68.522285,-31.441859
1.777742,SIN DATO,,,,Ruta,RP 75,-68.522285,-31.441859,-68.503922,-31.439047
134.661536,Pavimento,109,79,1,Ruta,RN 40,-68.522285,-31.441859,-68.708985,-30.301085
31.297612,Pavimento,109,79,1,Ruta,RN A01,-68.222526,-31.837002,-68.311092,-31.619745
7.614331,Pavimento,109,79,1,Ruta,RN 20,-68.169502,-31.888650,-68.222526,-31.837002
19.973848,Pavimento,112,80,1,AutovIa,RN A01,-68.311092,-31.619745,-68.495736,-31.551654
4.291973,Pavimento,109,79,1,Ruta,RP 230,-68.301231,-31.581968,-68.311092,-31.619745
3.808902,Pavimento,109,79,1,Ruta,RP 170,-68.411591,-31.523800,-68.382141,-31.546894
5.255705,Pavimento,109,79,1,Ruta,RP 170,-68.382141,-31.546894,-68.327789,-31.555864
3.674195,Pavimento,109,79,1,Ruta,RP 170,-68.327789,-31.555864,-68.300079,-31.573343
2.112703,Pavimento,109,79,1,Ruta,RP 170,-68.418129,-31.506271,-68.411591,-31.523800
1.55397,Pavimento,109,79,1,Ruta,RP 170,-68.416084,-31.492367,-68.418129,-31.506271
1.329127,Pavimento,109,79,1,Ruta,RP 170,-68.413857,-31.480536,-68.416084,-31.492367
0.614331,Pavimento,109,79,1,Ruta,RP 170,-68.412865,-31.475061,-68.413857,-31.480536
1.598025,Pavimento,109,79,1,Ruta,RP 170,-68.410286,-31.460819,-68.412865,-31.475061
0.59917,Pavimento,109,79,1,Ruta,RP 230,-68.300079,-31.573343,-68.300377,-31.578714
0.369796,Pavimento,109,79,1,Ruta,RP 230,-68.300377,-31.578714,-68.301231,-31.581968
77.310203,Pavimento,109,79,1,Ruta,RN 142,-68.336606,-32.629873,-67.801523,-32.212863
50.677978,Pavimento,109,79,1,Ruta,RN 20,-67.801523,-32.212863,-68.169502,-31.888650
