LENGTH,DATA,RUTA,JURISDIC,ETIQUETA_R,PROVINCIA,MATERIAL,PEAJE,CARRILES,JERARQUIA,TOPOGRAFIA,VEL_LIV,VEL_PES
44.78,"442","35",RN,RN 35,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
21.01,"445","35",RN,RN 35,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
56.05,"443","35",RN,RN 35,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
55.39,"189","18",RP,RP 18,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
44.51,"447","35",RN,RN 35,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
31.48,"533","5",RN,RN 5,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
61.01,"446","35",RN,RN 35,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
44.12,"484","4",RP,RP 4,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
45.74,"304","24",RP,RP 24,LA PAMPA,SIN DATO,"0",,Ruta,L,,
20.07,"1800","24",RP,RP 24,LA PAMPA,Pavimento,"0",,Ruta,L,"109","79"
24.58,"1799","18",RP,RP 18,LA PAMPA,Pavimento,"0",,Ruta,L,"109","79"
69.92,"2","1",RP,RP 1,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
13.14,"188","18",RP,RP 18,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
45.26,"605","60",RP,RP 60,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
26.03,"535","5",RN,RN 5,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
2.44,"554","5",RP,RP 5,SAN LUIS,Pavimento,"0","2",Ruta,L,"109","79"
14.90,"553","5",RP,RP 5,SAN LUIS,Pavimento,"0","2",Ruta,L,"109","79"
44.42,"138","148",RN,RN 148,CORDOBA,Pavimento,"0","1",Ruta,L,"109","79"
24.28,"241","20",RN,RN 20,CORDOBA,Pavimento,"0","1",Ruta,L,"109","79"
42.91,"251","20",RN,RN 20,CORDOBA,Pavimento,"0",,Ruta,O,"99","70"
48.49,"143","15",RP,RP 15,CORDOBA,Pavimento,"0","1",Ruta,L,"109","79"
75.48,"126","141",RN,RN 141,LA RIOJA,Pavimento,"0","1",Ruta,L,"109","79"
67.59,"333","29",RP,RP 29,LA RIOJA,SIN DATO,"0",,Ruta,L,,
35.32,"326","28",RP,RP 28,LA RIOJA,SIN DATO,"0",,Ruta,O,,
32.06,"124","141",RN,RN 141,LA RIOJA,Pavimento,"0","1",Ruta,L,"109","79"
12.46,"669","79",RN,RN 79,LA RIOJA,Pavimento,"0","1",Ruta,L,"109","79"
30.98,"667","79",RN,RN 79,LA RIOJA,Pavimento,"0","1",Ruta,L,"109","79"
37.80,"665","77",RN,RN 77,LA RIOJA,Pavimento,"0","1",Ruta,L,"109","79"
69.28,"668","79",RN,RN 79,LA RIOJA,Pavimento,"0","1",Ruta,L,"109","79"
63.28,"319","27",RP,RP 27,LA RIOJA,Pavimento,"0","1",Ruta,L,"109","79"
1.53,"876","150",RN,RN 150,LA RIOJA,Pavimento,"0",,Avenida,L,"60","45"
0.68,"469","38",RN,RN 38,LA RIOJA,Pavimento,"0",,Ruta,L,"109","79"
64.60,"467","38",RN,RN 38,LA RIOJA,Pavimento,"0",,Ruta,L,"109","79"
67.05,"468","38",RN,RN 38,LA RIOJA,Pavimento,"0","1",Ruta,L,"109","79"
5.26,"1033","38",RN,RN 38,LA RIOJA,Pavimento,"0","1",AutovIa,L,"112","80"
3.25,"466","38",RN,RN 38,LA RIOJA,Pavimento,"0","1",Ruta,L,"109","79"
76.72,"463","38",RN,RN 38,LA RIOJA,Pavimento,"0","1",Ruta,L,"109","79"
64.03,"664","77",RN,RN 77,LA RIOJA,Pavimento,"0","1",Ruta,L,"109","79"
1.66,"325","28",RP,RP 28,CORDOBA,Pavimento,"0","1",Ruta,L,"109","79"
62.64,"144","15",RP,RP 15,CORDOBA,Pavimento,"0","1",Ruta,O,"99","70"
66.20,"464","38",RN,RN 38,CORDOBA,Pavimento,"0","1",Ruta,L,"109","79"
